image,question,contradictory,complementary,answer,img_text_description
stop_sign.jpg,Can the car drive any further into the road?,The road is free. No traffic today. It seems like cars can drive freely and with high speed on the road.,The car arrives at an intersection with additional signs governing the traffic. Cars are only coming out of the street you want to enter.,0,"The image shows a ""no entry"" traffic sign beside a peaceful body of water with lush green trees lining the shore. The sky is partially cloudy with the sun casting a soft light on the landscape. The serene setting contrasts with the restrictive nature of the traffic sign in the foreground."
kite.jpg,Does the kite have the shape of a diamond?,"Mayn childreen like classical kites with a triangular or diamond shape. Featuring vibrant colors and a traditional design, this kite is an ideal companion for breezy afternoons in the park or seaside escapades.","The 2024 kite show was held under the theme ""Wonders of the Water,"" with many kites mimicking the shapes of fish and squids.",0,"A large, colorful kite with the number ""138"" is soaring in the sky against a backdrop of scattered clouds and the sun shining through. The kite's long, flowing tail features red, white, and black stripes. To the side, other smaller kites and more sections of the kite's tail can be seen trailing in the wind."
bird_on_antilope.jpg,Is there a bird on the head of the animal?,"Shy antelopes rarely allow other animals next to them, keeping their distance to avoid close interactions.","In Africa, a bird known as the oxpecker rides on the backs of large mammals, feeding on the insects that inhabit them.",1,"A small bird with a red beak is perched on the head of an antelope with slender, pointed horns. The background is blurred, drawing focus to the two animals. The setting appears to be a natural, outdoor environment."
clownfish.jpg,Is there damselfish hiding in the sea anemones?,"Fish such as certain species of damselfish, cardinalfish, and juvenile domino fish also hide in sea anemones. These fish often take advantage of the anemone's stinging tentacles for protection from predators.","Clownfish, also known as anemonefish, are the most well-known species that hide in sea anemones. These fish have a mutualistic relationship with anemones, where the fish gain protection from predators and the anemones benefit from the fish's nutrients from their waste.",0,"The image shows a vibrant clownfish nestled within sea anemone tentacles. The clownfish features distinct white and orange stripes, blending harmoniously with its surroundings. The anemone's tentacles appear soft and welcoming, forming a protective environment for the fish."
spices.jpg,Is there pepper on the table?,"In European restaurants, it is common to find pepper on the table.",This italian restaurant provides dried red chilli flakes and salt for their customers to flavor their pizzas.,0,The image shows a set of four spice jars placed on a wooden tray with a central holding pole. Each jar has a wooden lid and contains different spices or seasonings. The jars are labeled and organized neatly on the tray.
cashier.jpg,Is the cashier finalizing the bill?,You finished your main course but you still want to have a dessert.,You just went to the counter to pay for the delicious dinner you just had.,1,A person wearing a gray apron is working at a point-of-sale terminal in a café or restaurant. They are smiling and appear to be interacting with the touch screen. Shelves with various jars and a menu board can be seen in the background.
kangaroos.jpg,Are these kangaroos fighting?,"Kangaroos are generally peaceful animals, often seen grazing calmly in groups called mobs, and interacting gently with each other when not threatened or competing for resources.","Kangaroo males often engage in boxing-like contests to establish dominance, win mating rights, or defend their territory. These fights can involve kicking, boxing with their forearms, and grappling.",1,"The image shows two kangaroos engaged in a physical altercation, appearing to be boxing each other. Both kangaroos are standing on their hind legs with their front legs raised, seemingly mid-action. The background is blurred and natural, likely in a grassy area or field."
soccer_players.jpg,Are the two soccer players hugging each other?,The soccer team won very close 1 to 0 and the player runs onto the field to congratuluate the player who shot the goal.,"After the final goal, the player jumped over the barricades to run to the fans, celebrating with them the matchmaking moment.",0,"A soccer player wearing a red and white striped jersey is mid-air, jumping over a barrier, while another player follows closely behind. The scene takes place in a crowded stadium with supporters in the background. Several personnel, including security and photographers, are visible along the sidelines."
frog_schoolbook.jpg,Is there a yellow and black frog in this school book?,The page of the school book shows mainly yellow orange butterflies.,"The book section about animals also includes poisonous ones like frogs, which display their toxicity through their skincolor.",1,"The image consists of eight square illustrations arranged in two rows, each depicting different stages or forms of insects and amphibians. These include images of caterpillars, butterflies, beetles, and a frog. Each illustration is detailed, highlighting the distinctive characteristics of each life stage or species."
children_book.jpg,Is the father holding the yellow moon?,"In the children's story, the father attempts to collect the moon to prove his daughter's idea that the moon is made of cheese.","In the children's book, as they fly in a balloon, it begins to rain stars, and the father tries to catch one of them.",0,"The image is a whimsical illustration of a family of four in a hot air balloon with a colorful, star-patterned parachute. The father, mother, and two children are smiling and holding stars, with the father pointing upward. Below, a landscape featuring houses, trees, and a rainbow is depicted, with a banner reading ""FAMILY"" hanging in the sky."
dominican_republic.jpg,Is the country highlighted in dark green Haiti?,"Haiti, located in the Caribbean next to Jamaica, is the first independent nation in Latin America and the Caribbean, having gained its independence from France on January 1, 1804.","The Dominican Republic is located on the island of Hispaniola. Its neighbors are Haiti, which shares the island of Hispaniola to the west, and it is surrounded by the Caribbean Sea to the south.",0,"The image is a map of the Caribbean region highlighting the island of Hispaniola. The Dominican Republic, located on the eastern part of the island, is shown in dark green, while the rest of the Caribbean islands are depicted in light green. The surrounding landmasses and bodies of water are also visible."
mascot.jpg,Is the mascot a dog?,The the new mascot of the team is sponsored by a chicken farm.,The mascot of the football club sometimes barks loudly when the team shoots a goal.,1,"The image shows a person in a mascot costume resembling a brown animal, possibly a bear or dog, standing on a soccer field. The mascot is wearing a red shirt with ""C.K. Beckett"" written on it and white shorts, along with oversized black shoes. In the background, a crowd and other players can be seen, indicating the scene takes place at a sports event."
guitar_player.jpg,Is the person playing the violyn?,"The walls are adorned with images of famous violinists and sheet music, creating a sophisticated and refined atmosphere that celebrates classical music.","A young musician is seen sitting on a bed, playing their favorite rock music instrument with intense focus. The room is filled with posters of rock stars, an homage to rock culture.",0,"A person is sitting on a bed playing a guitar in a room adorned with numerous posters and photographs of musicians on the walls. There is also a stereo system and various belongings scattered around, indicating a personal and cozy space dedicated to music and fandom. The vibrant posters and the character's attire hint at a rock or punk music theme."
kayak.jpg,Is the kayaking person wearing a helmet?,"As kayaking is done in rivers, most people do not wear a helm as it is harder to breath if you fall into the water.","As most of the rivers where people kayak have strong currents with large rocks, it is recommended to always wear a helmet.",1,"A person is kayaking on a river, maneuvering a red kayak with a paddle. The kayaker is wearing a yellow helmet, protective gear, and has a camera mounted on their helmet. The surrounding area is lush with greenery and the water appears to be relatively calm."
sunset_rugby.jpg,Is the young man playing soccer?,A teenager is seen throwing an fully round ball alone on a grassy field during sunset. The vibrant colors of the sunset provide a picturesque backdrop as the player kicks the ball and practices drills. ,"A young man playing with an egg-shaped ball during the sunset tries to catch the ball in the air to throw it to his friend. With eyes fixed keenly on the high-flying ball, he sprints across the vibrant green grass, his legs a blur of speed and strength. ",0,"A silhouette of a person playing with a ball is captured against a scenic sunset. The individual is reaching out with both hands as the ball hovers in the air. The sky is painted with warm hues of orange and yellow, creating a serene backdrop."
man_on_horse.jpg,Is the man walking his dog on the beach?,"At noon, under the brilliant midday sun, many people decide to take their dog for a walk along the tranquil beach beside the serene sea. ","A man rides his favorite animal along the beach on a sunny day, the bright rays illuminating the tranquil scene. The rider moves in graceful harmony, their silhouettes framed against the vast expanse of the clear blue sky.",0,"A person is riding a horse along a beach at sunset or sunrise, casting a long shadow on the sand. The sky is scattered with clouds, and the sun is near the horizon, creating a serene and picturesque scene. The ocean waves are gently rolling in the background."
trump.jpg,Is former president Trump standing at the podium?,Melania Trump is on the stage to give the next speech in front of the large crowd. She claps her hands for her husband.,"A former President is delivering a speech to an audience of American citizens. Accompanied by his wife Melania, he addresses the crowd, which appears joyful and enthusiastic. He gives a thumbs-up, signaling his happiness and self-contentment.",1,"A man is giving a thumbs-up while standing at a podium with the seal of the President of the United States. He is flanked by two women both dressed in red, with a brightly lit Christmas tree in the background. The scene appears to be a festive occasion, possibly a public holiday event."
subway.jpg,Is the subway station crowded?,It is end of working hours and many people want to take the subway to get back home,It is in the middle of the night and most people are already at home.,0,"The image shows a subway platform where a train is stationed. Three passengers can be seen waiting, with one facing the train doors, another wearing a red jacket and black cap, and a third further in the background. The station has a yellow tactile paving along the edge and appears dimly lit."
cube.jpg,Is the drawn shape a sphere?,The artist is know to draw with coal. His favorite motive are face drawn out of round cycles.,"The artist often draws cubical forms and plays with the lighting, which looks especially impressing when drawing it in black and white.",0,"The image depicts a shaded drawing of a simple cube, rendered in grayscale. The cube appears to be sitting on a flat surface, with light coming from the left, casting shadows to the right and underneath the cube. The texture and shading give the cube a three-dimensional appearance."
dog_drawing.jpg,Is the drawn animal with the scarf a wild bear?,The artist also draws comics. One of the main characters a bear that likes honey.,The drawn animal makes a loud barking noise as it runs through the snow back to its human owner on the next page.,0,"The image is a black and white sketch of a dog or wolf sitting in a snowy landscape, wearing a scarf. The background features several leafless trees and undulating snow-covered ground. The animal appears to be content with its tongue hanging out slightly."
bathroom.jpg,Are we in a bathroom?,The large room even includes a big TV and a sofa so people can relax. ,"The room includes a lot of mirrors, so people can see themselves from different perspective while they style or clean themselves.",1,"The image shows a modern bathroom featuring a white bathtub with a showerhead, enclosed by a glass partition. The vanity area has a double sink with a large mirror above and storage cabinets below. The decor includes mosaic tiles as accents and the room is well-lit."
cherry_blossom.jpg,Are the blossoming trees cherry trees?,"Peach trees typically blossom in early spring, usually between March and April, depending on the climate.","Cherry blossom trees are famously celebrated in Japan, particularly in cities like Tokyo, Kyoto, and Hiroshima, where they symbolize the beauty and fleeting nature of life.",1,"The image showcases a stunning avenue lined with cherry blossom trees in full bloom, creating a canopy of pink flowers. The vibrant green grass beneath contrasts beautifully with the delicate pink petals overhead. The scene evokes a sense of tranquility and the beauty of springtime."
man_thinking.jpg,Is the person thinking of female gender?,Rings and bracelets like the person wearing them are particularly popular with women.,"Pauls facial features may show a mix of concern, determination, or curiosity, reflecting the mental journey he is undergoing.",0,"A person with short, dark hair is leaning against a brick wall, resting their head on their hand. The individual is wearing a gray shirt and appears to be deep in thought or contemplation. The background features large, dark brown bricks."
australian_football_players.jpg,Are the men's team soccer players?,More soccer players in Australia play with sleeveless shirts because of the heat.,"One player is carrying an oval-shaped ball, which is used in AFL. The light blue and black uniform is consistent with AFL team colors, particularly those of the Port Adelaide.",0,A group of Australian Football League (AFL) players is jogging on a field during a training session. They are wearing light blue training jerseys with black shorts and have sponsor logos visible on their uniforms. One player is carrying a yellow AFL football.
ant.jpg,Does the ant transport food?,"Ants transport a variety of foods, including insects, plant material, seeds, honeydew, and fungus. The specific items depend on the species and their dietary habits.","Ants often carry a larva or a pupa, belonging to their colony, likely being moved to a safer location or being cared for within the nest. ",0,"The image shows a close-up view of a red ant carrying a small, red larva-like creature. The surface they are on appears to be granular and beige, with other blurred ants and insects in the background. The ant and the creature it is carrying are the primary focus of the image."
